"subject_num","picture","ans","correct"
23,"Q2.sa_unedited_1",2,0
24,"Q2.af_edited_hu_1",2,1
24,"Q2.as_edited_ob_1",2,1
24,"Q2.isr_edited_hu_1",2,1
24,"Q2.Isr_unedited_2",1,0
25,"Q2.na_edited_hu_1",2,1
25,"Q2.isr_edited_hu_1",2,1
25,"Q2.Isr_unedited_2",1,0
25,"Q2.Isr_unedited_4",2,0
26,"Q2.na_edited_hu_1",2,1
26,"Q2.sa_edited_ob_1",1,1
26,"Q2.isr_edited_hu_2",2,1
26,"Q2.Isr_unedited_4",1,0
27,"Q2.na_edited_hu_1",2,1
27,"Q2.isr_edited_hu_1",2,1
27,"Q2.sa_unedited_1",2,0
28,"Q2.af_edited_hu_1",2,1
28,"Q2.as_edited_ob_1",2,1
28,"Q2.isr_edited_hu_2",2,1
28,"Q2.as_unedited_1",2,0
28,"Q2.Isr_unedited_4",2,0
28,"Q2.na_unedited_1",2,0
29,"Q2.na_edited_hu_1",2,1
29,"Q2.isr_edited_hu_2",2,1
30,"Q2.sa_edited_ob_1",2,1
30,"Q2.isr_edited_hu_2",2,1
30,"Q2.as_unedited_1",2,0
30,"Q2.af_unedited_1",2,0
31,"Q2.Isr_edited_ob_5",2,1
31,"Q2.na_edited_hu_1",2,1
31,"Q2.isr_edited_hu_2",1,1
31,"Q2.Isr_unedited_2",2,0
31,"Q2.sa_unedited_1",1,0
31,"Q2.Isr_unedited_3",2,0
32,"Q2.as_edited_ob_1",2,1
32,"Q2.isr_edited_hu_1",2,1
32,"Q2.Isr_unedited_2",1,0
33,"Q2.na_edited_hu_1",2,1
33,"Q2.Isr_unedited_1",2,0
33,"Q2.sa_unedited_1",2,0
33,"Q2.Isr_unedited_3",1,0
33,"Q2.na_unedited_1",1,0
34,"Q2.isr_edited_hu_1",2,1
34,"Q2.sa_unedited_1",2,0
34,"Q2.af_unedited_1",1,0
35,"Q2.Isr_edited_ob_5",2,1
35,"Q2.Isr_unedited_2",1,0
35,"Q2.sa_unedited_1",1,0
36,"Q2.na_edited_hu_1",1,1
36,"Q2.sa_edited_ob_1",1,1
36,"Q2.isr_edited_hu_2",1,1
37,"Q2.isr_edited_hu_1",2,1
38,"Q2.af_edited_hu_1",1,1
38,"Q2.isr_edited_hu_1",2,1
38,"Q2.Isr_unedited_2",1,0
38,"Q2.as_unedited_1",1,0
39,"Q2.Isr_edited_ob_5",2,1
39,"Q2.as_edited_ob_1",2,1
39,"Q2.Isr_unedited_3",1,0
39,"Q2.af_unedited_1",1,0
40,"Q2.af_edited_hu_1",2,1
40,"Q2.isr_edited_hu_2",2,1
41,"Q2.sa_edited_ob_1",2,1
41,"Q2.isr_edited_hu_1",2,1
41,"Q2.Isr_unedited_3",2,0
42,"Q2.na_edited_hu_1",1,1
42,"Q2.as_edited_ob_1",2,1
42,"Q2.isr_edited_hu_1",2,1
42,"Q2.Isr_unedited_2",2,0
43,"Q2.as_edited_ob_1",2,1
43,"Q2.isr_edited_hu_1",2,1
43,"Q2.Isr_unedited_2",2,0
43,"Q2.sa_unedited_1",2,0
44,"Q2.na_edited_hu_1",1,1
44,"Q2.as_edited_ob_1",1,1
44,"Q2.isr_edited_hu_2",1,1
44,"Q2.Isr_unedited_4",1,0
45,"Q2.Isr_edited_ob_6",2,1
45,"Q2.af_edited_hu_1",2,1
45,"Q2.sa_unedited_1",2,0
46,"Q2.Isr_edited_ob_6",2,1
46,"Q2.isr_edited_hu_2",2,1
46,"Q2.Isr_unedited_2",1,0
46,"Q2.Isr_unedited_3",2,0
46,"Q2.na_unedited_1",2,0
47,"Q2.af_edited_hu_1",2,1
47,"Q2.isr_edited_hu_1",2,1
47,"Q2.sa_unedited_1",1,0
48,"Q2.as_edited_ob_1",2,1
48,"Q2.sa_unedited_1",1,0
