exposure,subject_num,picture,human,object,israel,far,logDe,correct,neg,conf,frac_conf,edited
234,59,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
235,59,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,2,0.5,1
236,60,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
237,60,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
238,60,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,3,0.75,1
239,60,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
240,61,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
241,61,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
242,61,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
243,61,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
244,62,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
245,62,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
246,62,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
247,62,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
248,63,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,3,0.75,1
249,63,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
250,63,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,4,1,1
251,63,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
252,64,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,3,0.75,1
253,64,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,2,0.5,1
254,64,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,2,0.5,1
255,64,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,2,0.5,1
256,65,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
257,65,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
258,65,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
259,65,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
260,66,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
261,66,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
