exposure,subject_num,picture,human,object,israel,far,logDe,correct,neg,conf,frac_conf,edited
319,80,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
320,81,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,2,0.5,1
321,81,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
322,81,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
323,81,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,2,0.5,1
324,82,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
325,82,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
326,82,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
327,82,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
328,83,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
329,83,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
330,83,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
331,83,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
332,84,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
333,84,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
334,84,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
335,84,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
336,85,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
337,85,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,3,0.75,1
338,85,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
339,85,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
340,86,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
341,86,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
342,86,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
343,86,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
344,1,Q2.Isr_unedited_2,,,1,,,0,,2,0.5,0
345,1,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
346,1,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
347,1,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
348,2,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
349,2,Q2.as_unedited_1,,,0,,,1,,4,1,0
350,2,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
351,2,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
352,3,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
353,3,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
354,3,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
355,3,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
356,4,Q2.Isr_unedited_1,,,1,,,1,,1,0.25,0
357,4,Q2.sa_unedited_1,,,0,,,0,,4,1,0
358,4,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
359,4,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
360,5,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
361,5,Q2.as_unedited_1,,,0,,,0,,2,0.5,0
362,5,Q2.Isr_unedited_3,,,1,,,0,,4,1,0
363,5,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
364,6,Q2.Isr_unedited_1,,,1,,,0,,2,0.5,0
365,6,Q2.as_unedited_1,,,0,,,1,,2,0.5,0
366,6,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
367,6,Q2.na_unedited_1,,,0,,,0,,2,0.5,0
368,7,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
369,7,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
370,7,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
371,7,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
372,8,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
373,8,Q2.sa_unedited_1,,,0,,,1,,2,0.5,0
374,8,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
375,8,Q2.na_unedited_1,,,0,,,0,,4,1,0
376,9,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
377,9,Q2.sa_unedited_1,,,0,,,1,,1,0.25,0
378,9,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
379,9,Q2.na_unedited_1,,,0,,,1,,1,0.25,0
380,10,Q2.Isr_unedited_1,,,1,,,0,,3,0.75,0
381,10,Q2.sa_unedited_1,,,0,,,1,,4,1,0
382,10,Q2.Isr_unedited_4,,,1,,,0,,2,0.5,0
383,10,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
384,11,Q2.Isr_unedited_1,,,1,,,1,,2,0.5,0
385,11,Q2.as_unedited_1,,,0,,,0,,2,0.5,0
386,11,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
387,11,Q2.na_unedited_1,,,0,,,0,,4,1,0
388,12,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
389,12,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
390,12,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
391,12,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
392,13,Q2.Isr_unedited_2,,,1,,,1,,1,0.25,0
393,13,Q2.as_unedited_1,,,0,,,1,,1,0.25,0
394,13,Q2.Isr_unedited_4,,,1,,,1,,1,0.25,0
395,13,Q2.af_unedited_1,,,0,,,1,,1,0.25,0
396,14,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
397,14,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
398,14,Q2.Isr_unedited_3,,,1,,,1,,2,0.5,0
399,14,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
400,15,Q2.Isr_unedited_1,,,1,,,1,,2,0.5,0
401,15,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
402,15,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
403,15,Q2.na_unedited_1,,,0,,,0,,3,0.75,0
404,16,Q2.Isr_unedited_2,,,1,,,0,,4,1,0
405,16,Q2.as_unedited_1,,,0,,,0,,1,0.25,0
406,16,Q2.Isr_unedited_3,,,1,,,0,,2,0.5,0
407,16,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
408,17,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
409,17,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
410,17,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
411,17,Q2.af_unedited_1,,,0,,,1,,4,1,0
412,18,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
413,18,Q2.sa_unedited_1,,,0,,,0,,4,1,0
414,18,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
415,18,Q2.af_unedited_1,,,0,,,1,,4,1,0
416,19,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
417,19,Q2.as_unedited_1,,,0,,,1,,2,0.5,0
418,19,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
419,19,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
420,20,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
421,20,Q2.as_unedited_1,,,0,,,1,,4,1,0
422,20,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
423,20,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
424,21,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
425,21,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
426,21,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
427,21,Q2.af_unedited_1,,,0,,,0,,2,0.5,0
428,22,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
429,22,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
430,22,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
431,22,Q2.af_unedited_1,,,0,,,1,,4,1,0
432,23,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
433,23,Q2.sa_unedited_1,,,0,,,0,,4,1,0
434,23,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
435,23,Q2.na_unedited_1,,,0,,,1,,4,1,0
436,24,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
437,24,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
438,24,Q2.Isr_unedited_3,,,1,,,1,,2,0.5,0
439,24,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
440,25,Q2.Isr_unedited_2,,,1,,,0,,1,0.25,0
441,25,Q2.sa_unedited_1,,,0,,,1,,2,0.5,0
442,25,Q2.Isr_unedited_4,,,1,,,0,,3,0.75,0
443,25,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
444,26,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
445,26,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
446,26,Q2.Isr_unedited_4,,,1,,,0,,2,0.5,0
447,26,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
448,27,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
449,27,Q2.sa_unedited_1,,,0,,,0,,4,1,0
450,27,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
451,27,Q2.af_unedited_1,,,0,,,1,,4,1,0
452,28,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
453,28,Q2.as_unedited_1,,,0,,,0,,2,0.5,0
454,28,Q2.Isr_unedited_4,,,1,,,0,,4,1,0
455,28,Q2.na_unedited_1,,,0,,,0,,4,1,0
456,29,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
457,29,Q2.sa_unedited_1,,,0,,,1,,2,0.5,0
458,29,Q2.Isr_unedited_3,,,1,,,1,,2,0.5,0
459,29,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
460,30,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
461,30,Q2.as_unedited_1,,,0,,,0,,4,1,0
462,30,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
463,30,Q2.af_unedited_1,,,0,,,0,,4,1,0
464,31,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
465,31,Q2.sa_unedited_1,,,0,,,0,,1,0.25,0
466,31,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
467,31,Q2.af_unedited_1,,,0,,,1,,4,1,0
468,32,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
469,32,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
470,32,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
471,32,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
472,33,Q2.Isr_unedited_1,,,1,,,0,,3,0.75,0
473,33,Q2.sa_unedited_1,,,0,,,0,,4,1,0
474,33,Q2.Isr_unedited_3,,,1,,,0,,1,0.25,0
475,33,Q2.na_unedited_1,,,0,,,0,,1,0.25,0
476,34,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
477,34,Q2.sa_unedited_1,,,0,,,0,,4,1,0
478,34,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
479,34,Q2.af_unedited_1,,,0,,,0,,2,0.5,0
480,35,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
481,35,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
482,35,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
483,35,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
484,36,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
485,36,Q2.as_unedited_1,,,0,,,1,,4,1,0
486,36,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
487,36,Q2.af_unedited_1,,,0,,,1,,4,1,0
488,37,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
489,37,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
490,37,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
491,37,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
492,38,Q2.Isr_unedited_2,,,1,,,0,,2,0.5,0
493,38,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
494,38,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
495,38,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
496,39,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
497,39,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
498,39,Q2.Isr_unedited_3,,,1,,,0,,2,0.5,0
499,39,Q2.af_unedited_1,,,0,,,0,,3,0.75,0
500,40,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
501,40,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
502,40,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
503,40,Q2.na_unedited_1,,,0,,,1,,1,0.25,0
504,41,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
505,41,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
506,41,Q2.Isr_unedited_3,,,1,,,0,,4,1,0
507,41,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
508,42,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
509,42,Q2.as_unedited_1,,,0,,,1,,4,1,0
510,42,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
511,42,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
512,43,Q2.Isr_unedited_2,,,1,,,0,,4,1,0
513,43,Q2.sa_unedited_1,,,0,,,0,,4,1,0
514,43,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
515,43,Q2.na_unedited_1,,,0,,,1,,1,0.25,0
516,44,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
517,44,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
518,44,Q2.Isr_unedited_4,,,1,,,0,,2,0.5,0
519,44,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
520,45,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
521,45,Q2.sa_unedited_1,,,0,,,0,,4,1,0
522,45,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
523,45,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
524,46,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
525,46,Q2.as_unedited_1,,,0,,,1,,2,0.5,0
526,46,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
527,46,Q2.na_unedited_1,,,0,,,0,,3,0.75,0
528,47,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
529,47,Q2.sa_unedited_1,,,0,,,0,,2,0.5,0
530,47,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
531,47,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
532,48,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
533,48,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
534,48,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
535,48,Q2.af_unedited_1,,,0,,,0,,3,0.75,0
536,49,Q2.Isr_unedited_1,,,1,,,0,,2,0.5,0
537,49,Q2.as_unedited_1,,,0,,,0,,2,0.5,0
538,49,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
539,49,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
540,50,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
541,50,Q2.sa_unedited_1,,,0,,,1,,1,0.25,0
542,50,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
543,50,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
544,51,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
545,51,Q2.sa_unedited_1,,,0,,,1,,4,1,0
546,51,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
547,51,Q2.na_unedited_1,,,0,,,1,,4,1,0
548,52,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
549,52,Q2.sa_unedited_1,,,0,,,1,,4,1,0
550,52,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
551,52,Q2.af_unedited_1,,,0,,,0,,4,1,0
552,53,Q2.Isr_unedited_1,,,1,,,0,,3,0.75,0
553,53,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
554,53,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
555,53,Q2.na_unedited_1,,,0,,,1,,4,1,0
556,54,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
557,54,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
558,54,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
559,54,Q2.na_unedited_1,,,0,,,1,,4,1,0
560,55,Q2.Isr_unedited_1,,,1,,,0,,2,0.5,0
561,55,Q2.as_unedited_1,,,0,,,1,,2,0.5,0
562,55,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
563,55,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
564,56,Q2.Isr_unedited_1,,,1,,,1,,1,0.25,0
565,56,Q2.as_unedited_1,,,0,,,1,,1,0.25,0
566,56,Q2.Isr_unedited_3,,,1,,,0,,2,0.5,0
567,56,Q2.na_unedited_1,,,0,,,1,,1,0.25,0
568,57,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
569,57,Q2.as_unedited_1,,,0,,,1,,4,1,0
570,57,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
571,57,Q2.af_unedited_1,,,0,,,1,,4,1,0
572,58,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
573,58,Q2.sa_unedited_1,,,0,,,0,,4,1,0
574,58,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
575,58,Q2.af_unedited_1,,,0,,,0,,4,1,0
576,59,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
577,59,Q2.as_unedited_1,,,0,,,0,,2,0.5,0
578,59,Q2.Isr_unedited_3,,,1,,,1,,2,0.5,0
579,59,Q2.na_unedited_1,,,0,,,0,,3,0.75,0
580,60,Q2.Isr_unedited_1,,,1,,,0,,4,1,0
581,60,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
582,60,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
583,60,Q2.na_unedited_1,,,0,,,0,,2,0.5,0
584,61,Q2.Isr_unedited_1,,,1,,,1,,2,0.5,0
585,61,Q2.as_unedited_1,,,0,,,1,,4,1,0
586,61,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
587,61,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
588,62,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
589,62,Q2.sa_unedited_1,,,0,,,0,,4,1,0
590,62,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
591,62,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
592,63,Q2.Isr_unedited_2,,,1,,,0,,1,0.25,0
593,63,Q2.sa_unedited_1,,,0,,,0,,2,0.5,0
594,63,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
595,63,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
596,64,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
597,64,Q2.as_unedited_1,,,0,,,0,,2,0.5,0
598,64,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
599,64,Q2.af_unedited_1,,,0,,,0,,3,0.75,0
600,65,Q2.Isr_unedited_2,,,1,,,0,,4,1,0
601,65,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
602,65,Q2.Isr_unedited_3,,,1,,,1,,3,0.75,0
603,65,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
604,66,Q2.Isr_unedited_1,,,1,,,0,,4,1,0
605,66,Q2.as_unedited_1,,,0,,,1,,4,1,0
606,66,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
607,66,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
608,67,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
609,67,Q2.as_unedited_1,,,0,,,1,,4,1,0
610,67,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
611,67,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
612,68,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
613,68,Q2.sa_unedited_1,,,0,,,1,,3,0.75,0
614,68,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
615,68,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
616,69,Q2.Isr_unedited_2,,,1,,,0,,2,0.5,0
617,69,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
618,69,Q2.Isr_unedited_3,,,1,,,0,,4,1,0
619,69,Q2.af_unedited_1,,,0,,,1,,4,1,0
620,70,Q2.Isr_unedited_2,,,1,,,0,,4,1,0
621,70,Q2.as_unedited_1,,,0,,,1,,4,1,0
622,70,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
623,70,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
624,71,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
625,71,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
626,71,Q2.Isr_unedited_4,,,1,,,0,,3,0.75,0
627,71,Q2.na_unedited_1,,,0,,,1,,2,0.5,0
628,72,Q2.Isr_unedited_2,,,1,,,0,,3,0.75,0
629,72,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
630,72,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
631,72,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
632,73,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
633,73,Q2.sa_unedited_1,,,0,,,0,,4,1,0
634,73,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
635,73,Q2.af_unedited_1,,,0,,,1,,4,1,0
636,74,Q2.Isr_unedited_2,,,1,,,1,,2,0.5,0
637,74,Q2.sa_unedited_1,,,0,,,0,,3,0.75,0
638,74,Q2.Isr_unedited_4,,,1,,,1,,2,0.5,0
639,74,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
640,75,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
641,75,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
642,75,Q2.Isr_unedited_3,,,1,,,1,,4,1,0
643,75,Q2.af_unedited_1,,,0,,,0,,3,0.75,0
644,76,Q2.Isr_unedited_1,,,1,,,0,,4,1,0
645,76,Q2.as_unedited_1,,,0,,,1,,1,0.25,0
646,76,Q2.Isr_unedited_3,,,1,,,0,,4,1,0
647,76,Q2.af_unedited_1,,,0,,,0,,3,0.75,0
648,77,Q2.Isr_unedited_1,,,1,,,0,,1,0.25,0
649,77,Q2.as_unedited_1,,,0,,,1,,2,0.5,0
650,77,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
651,77,Q2.na_unedited_1,,,0,,,0,,2,0.5,0
652,78,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
653,78,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
654,78,Q2.Isr_unedited_4,,,1,,,0,,3,0.75,0
655,78,Q2.na_unedited_1,,,0,,,0,,3,0.75,0
656,79,Q2.Isr_unedited_1,,,1,,,1,,3,0.75,0
657,79,Q2.sa_unedited_1,,,0,,,0,,2,0.5,0
658,79,Q2.Isr_unedited_3,,,1,,,0,,3,0.75,0
659,79,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
660,80,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
661,80,Q2.sa_unedited_1,,,0,,,1,,2,0.5,0
662,80,Q2.Isr_unedited_3,,,1,,,0,,4,1,0
663,80,Q2.af_unedited_1,,,0,,,0,,2,0.5,0
664,81,Q2.Isr_unedited_1,,,1,,,0,,4,1,0
665,81,Q2.sa_unedited_1,,,0,,,0,,2,0.5,0
666,81,Q2.Isr_unedited_4,,,1,,,1,,3,0.75,0
667,81,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
668,82,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
669,82,Q2.sa_unedited_1,,,0,,,0,,4,1,0
670,82,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
671,82,Q2.af_unedited_1,,,0,,,1,,2,0.5,0
672,83,Q2.Isr_unedited_2,,,1,,,1,,4,1,0
673,83,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
674,83,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
675,83,Q2.af_unedited_1,,,0,,,1,,3,0.75,0
676,84,Q2.Isr_unedited_2,,,1,,,0,,4,1,0
677,84,Q2.as_unedited_1,,,0,,,1,,3,0.75,0
678,84,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
679,84,Q2.na_unedited_1,,,0,,,0,,3,0.75,0
680,85,Q2.Isr_unedited_2,,,1,,,1,,3,0.75,0
681,85,Q2.as_unedited_1,,,0,,,0,,3,0.75,0
682,85,Q2.Isr_unedited_4,,,1,,,0,,3,0.75,0
683,85,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
684,86,Q2.Isr_unedited_1,,,1,,,1,,4,1,0
685,86,Q2.sa_unedited_1,,,0,,,0,,4,1,0
686,86,Q2.Isr_unedited_4,,,1,,,1,,4,1,0
687,86,Q2.na_unedited_1,,,0,,,1,,3,0.75,0
